Regionaleinheit;Wahlberechtigte;ohne Wahlschein;mit Wahlschein;§18 Abs.2 LWO;Wähler(innen);mit Wahlschein;Ungültige Stimmen;Gültige Stimmen;GRÜNE;CDU;AfD;SPD;FDP;DIE LINKE;ÖDP;PIRATEN;Die PARTEI;FREIE WÄHLER;MENSCHLICHE WELT;Bündnis C;DKP;dieBasis;DiB;Eine für Alle - Partei;KlimalisteBW;Die Humanisten;Gesundheitsforschung;W2020;Volt;Einzelbewerber
08231000900-11 Stadt Pforzheim B9911 082310009911;;;;;441;441;0;441;138;108;31;48;83;10;4;;;11;;;;;;;3;;;2;1;2
08231000900-12 Stadt Pforzheim B9912 082310009912;;;;;473;473;1;472;130;107;41;42;99;11;3;;;23;;;;;;;3;;;2;7;4
08231000900-13 Stadt Pforzheim B9913 082310009913;;;;;473;473;3;470;117;142;45;53;64;14;2;;;11;;;;;;;2;;;11;6;3
08231000900-14 Stadt Pforzheim B9914 082310009914;;;;;463;463;2;461;116;109;81;45;75;7;0;;;15;;;;;;;7;;;6;0;0
08231000900-15 Stadt Pforzheim B9915 082310009915;;;;;432;432;0;432;131;101;30;57;65;16;7;;;13;;;;;;;0;;;5;3;4
08231000900-16 Stadt Pforzheim B9916 082310009916;;;;;437;437;0;437;138;84;35;53;76;14;4;;;18;;;;;;;2;;;5;7;1
08231000900-17 Stadt Pforzheim B9917 082310009917;;;;;432;432;0;432;141;89;34;50;75;11;1;;;16;;;;;;;5;;;5;3;2
08231000900-18 Stadt Pforzheim B9918 082310009918;;;;;432;432;5;427;133;115;27;35;70;19;3;;;14;;;;;;;1;;;4;4;2
08231000900-19 Stadt Pforzheim B9919 082310009919;;;;;431;431;3;428;137;88;35;57;59;15;3;;;20;;;;;;;3;;;5;5;1
08231000900-20 Stadt Pforzheim B9920 082310009920;;;;;427;427;3;424;139;102;32;48;53;18;1;;;16;;;;;;;6;;;2;4;3
08231000900-21 Stadt Pforzheim B9921 082310009921;;;;;435;435;2;433;136;107;30;55;66;14;0;;;13;;;;;;;3;;;2;5;2
08231000900-22 Stadt Pforzheim B9922 082310009922;;;;;423;423;0;423;133;75;37;52;81;15;5;;;19;;;;;;;0;;;2;1;3
08231000900-23 Stadt Pforzheim B9923 082310009923;;;;;425;425;4;421;128;91;27;54;73;11;1;;;28;;;;;;;3;;;1;4;0
08231000900-24 Stadt Pforzheim B9924 082310009924;;;;;414;414;3;411;133;92;31;41;66;8;4;;;28;;;;;;;4;;;0;4;0
08231000900-25 Stadt Pforzheim B9925 082310009925;;;;;428;428;1;427;119;113;32;58;66;13;3;;;17;;;;;;;0;;;1;3;2
08231000900-26 Stadt Pforzheim B9926 082310009926;;;;;411;411;3;408;128;100;26;40;81;11;5;;;11;;;;;;;0;;;4;2;0
08231000900-27 Stadt Pforzheim B9927 082310009927;;;;;408;408;2;406;122;85;35;40;89;9;6;;;13;;;;;;;1;;;1;4;1
08231000900-28 Stadt Pforzheim B9928 082310009928;;;;;414;414;1;413;118;125;19;49;71;5;0;;;20;;;;;;;2;;;2;1;1
08231000900-29 Stadt Pforzheim B9929 082310009929;;;;;415;415;2;413;120;110;20;39;95;8;0;;;14;;;;;;;1;;;1;5;0
08231000900-30 Stadt Pforzheim B9930 082310009930;;;;;499;499;0;499;118;112;46;42;89;5;4;;;75;;;;;;;2;;;1;3;2
08231000900-31 Stadt Pforzheim B9931 082310009931;;;;;407;407;2;405;112;115;38;39;63;2;0;;;26;;;;;;;4;;;2;3;1
08231000900-32 Stadt Pforzheim B9932 082310009932;;;;;408;408;1;407;132;92;29;41;71;2;0;;;34;;;;;;;1;;;1;4;0
08231000900-33 Stadt Pforzheim B9933 082310009933;;;;;414;414;2;412;98;103;30;46;84;7;1;;;35;;;;;;;2;;;2;2;2
08231000900-34 Stadt Pforzheim B9934 082310009934;;;;;402;402;1;401;87;83;45;54;69;9;3;;;35;;;;;;;1;;;8;7;0
08231000900-35 Stadt Pforzheim B9935 082310009935;;;;;411;411;2;409;104;102;24;41;80;3;2;;;39;;;;;;;5;;;5;2;2
08231000900-36 Stadt Pforzheim B9936 082310009936;;;;;490;490;4;486;119;130;54;42;85;8;3;;;38;;;;;;;3;;;1;0;3
08231000900-37 Stadt Pforzheim B9937 082310009937;;;;;490;490;1;489;134;129;33;44;90;12;5;;;29;;;;;;;5;;;5;3;0
08231000900-38 Stadt Pforzheim B9938 082310009938;;;;;465;465;1;464;119;132;42;47;85;6;2;;;17;;;;;;;4;;;4;3;3
08231000900-39 Stadt Pforzheim B9939 082310009939;;;;;471;471;1;470;117;112;45;57;93;17;2;;;17;;;;;;;5;;;3;1;1
08231000900-40 Stadt Pforzheim B9940 082310009940;;;;;463;463;4;459;153;116;32;44;72;8;5;;;18;;;;;;;2;;;5;0;4
08236004001-01 Gemeinde Birkenfeld 001-01 Ludwig-Uhland-Schule Pavillon I 0823600400101;753;546;207;0;284;1;5;279;61;57;51;28;41;6;3;;;14;;;;;;;3;;;9;6;0
08236004001-02 Gemeinde Birkenfeld 001-02 Ludwig-Uhland-Schule Pavillon II 0823600400102;692;451;241;0;230;0;5;225;54;34;47;21;39;5;4;;;11;;;;;;;1;;;4;4;1
08236004001-03 Gemeinde Birkenfeld 001-03 KiTa Pappelstraße 0823600400103;964;626;338;0;349;0;6;343;67;83;65;38;58;8;3;;;11;;;;;;;4;;;3;2;1
08236004001-04 Gemeinde Birkenfeld 001-04 Rathaus 0823600400104;828;531;297;0;281;0;3;278;69;51;49;32;44;8;2;;;17;;;;;;;1;;;4;1;0
08236004001-05 Gemeinde Birkenfeld 001-05 Friedrich-Silcher-Schule 0823600400105;576;445;131;0;221;0;3;218;48;28;58;25;33;9;0;;;14;;;;;;;1;;;1;1;0
08236004001-06 Gemeinde Birkenfeld 001-06 Ludwig-Uhland-Schule Pavillon III 0823600400106;625;415;210;0;176;0;1;175;41;38;43;16;22;3;1;;;5;;;;;;;1;;;5;0;0
08236004001-07 Gemeinde Birkenfeld 001-07 Altenpflegeheim 0823600400107;917;585;332;0;278;0;2;276;63;72;45;22;55;8;1;;;4;;;;;;;0;;;4;2;0
08236004001-08 Gemeinde Birkenfeld 002-08 Sixthalle Vereinsraum 1 0823600400208;1089;625;464;0;382;0;3;379;109;90;50;24;62;7;8;;;14;;;;;;;1;;;11;2;1
08236004001-09 Gemeinde Birkenfeld 002-09 Sixthalle Vereinsraum 2 0823600400209;976;658;318;0;340;0;6;334;65;59;83;37;48;9;0;;;12;;;;;;;3;;;10;7;1
08236004900-01 Gemeinde Birkenfeld 900-01 Briefwahl 1 0823600490001;;;;;1239;1239;5;1234;393;279;101;151;176;29;11;;;58;;;;;;;10;;;16;7;3
08236004900-02 Gemeinde Birkenfeld 900-02 Briefwahl 2 0823600490002;;;;;1165;1165;11;1154;351;310;109;107;167;23;7;;;51;;;;;;;7;;;8;12;2
08236013001-01 Gemeinde Engelsbrand OT Engelsbrand 0823601300101;1349;838;511;0;390;2;0;390;106;74;74;43;52;10;1;;;23;;;;;;;3;;;4;0;0
08236013001-02 Gemeinde Engelsbrand OT Grunbach 0823601300202;1333;797;536;0;416;0;4;412;109;64;81;41;72;16;4;;;14;;;;;;;1;;;2;5;3
08236013001-03 Gemeinde Engelsbrand OT Salmbach 0823601300303;738;470;268;0;239;3;0;239;71;51;53;15;31;4;2;;;8;;;;;;;1;;;2;1;0
08236013900-01 Gemeinde Engelsbrand Briefwahl1 08236013900-01;;;;;742;742;0;742;219;168;72;79;131;11;2;;;31;;;;;;;5;;;12;8;4
08236013900-02 Gemeinde Engelsbrand Briefwahl2 08236013900-02;;;;;504;504;3;501;167;145;39;44;83;3;3;;;13;;;;;;;2;;;1;0;1
08236030001-01 Gemeinde Ispringen Ispringen  -  Sport - und Festhalle 082360301;962;696;266;0;299;0;4;295;78;60;51;27;40;10;0;;;18;;;;;;;1;;;3;3;4
08236030001-02 Gemeinde Ispringen Ispringen - Rathaus - 082360302;1137;789;348;0;332;0;7;325;92;47;65;31;39;10;3;;;24;;;;;;;4;;;8;2;0
08236030001-03 Gemeinde Ispringen Kindergarten Kraichgaustraße 082360303;1197;784;413;0;431;1;6;425;137;69;57;36;81;9;2;;;24;;;;;;;0;;;8;2;0
08236030001-04 Gemeinde Ispringen Ispringen - Pfarrscheune Brunnenstraße - 082360304;1028;643;385;0;335;0;4;331;99;51;70;34;50;10;0;;;14;;;;;;;1;;;0;2;0
08236030900-01 Gemeinde Ispringen Briefwahlbezirk Rathaus 082360305;;;;;1351;1351;9;1342;446;305;107;148;193;38;10;;;53;;;;;;;8;;;12;16;6
08236031001-01 Gemeinde Kieselbronn Wahlbezirk I (Festhalle) 08236031001-01;1133;659;474;0;365;1;6;359;97;59;76;38;56;11;2;;;13;;;;;;;0;;;6;0;1
08236031001-02 Gemeinde Kieselbronn Wahlbezirk II (Ev. Gemeindehaus) 08236031001-02;1133;624;509;0;305;2;3;302;86;40;65;33;42;10;4;;;7;;;;;;;4;;;7;4;0
08236031900-01 Gemeinde Kieselbronn Briefwahl I 08236031900-01;;;;;453;453;2;451;146;108;48;48;68;2;2;;;13;;;;;;;3;;;8;3;2
08236031900-02 Gemeinde Kieselbronn Briefwahl II 08236031900-02;;;;;486;486;4;482;149;102;46;54;73;9;7;;;23;;;;;;;2;;;12;4;1
08235006001-01 Stadt Altensteig 001-01 Altensteig - Untere Stadt 08235006001-01;1085;820;265;0;313;0;5;308;61;80;53;44;21;14;5;;;14;;;;6;;;1;;;9;;
08235006001-02 Stadt Altensteig 001-02 Altensteig - Mitte 08235006001-02;887;615;272;0;233;1;1;232;38;66;41;38;24;6;1;;;6;;;;5;;;2;;;5;;
08235006001-03 Stadt Altensteig 001-03 Altensteig- Obere Stadt 08235006001-03;1283;875;408;0;439;0;6;433;88;114;79;51;55;9;6;;;21;;;;3;;;0;;;7;;
08235006001-04 Stadt Altensteig 002-01 Altensteigdorf 08235006002-01;143;102;41;0;68;0;2;66;9;28;4;5;13;2;1;;;4;;;;0;;;0;;;0;;
08235006001-05 Stadt Altensteig 003-01 Berneck 08235006003-01;293;240;53;0;117;0;3;114;21;18;31;11;18;5;2;;;5;;;;3;;;0;;;0;;
08235006001-06 Stadt Altensteig 004-01 Garrweiler 08235006004-01;149;115;34;0;70;0;0;70;15;24;10;2;10;2;0;;;4;;;;0;;;0;;;3;;
08235006001-07 Stadt Altensteig 005-01 Hornberg 08235006005-01;129;113;16;0;75;0;0;75;15;23;16;2;10;0;2;;;6;;;;1;;;0;;;0;;
08235006001-08 Stadt Altensteig 006-01 Spielberg 08235006006-01;924;646;278;0;350;0;4;346;68;102;67;11;49;20;2;;;10;;;;9;;;4;;;4;;
08235006001-09 Stadt Altensteig 007-01 Überberg 08235006007-01;440;313;127;0;186;0;0;186;31;56;39;8;30;3;5;;;12;;;;1;;;1;;;0;;
08235006001-10 Stadt Altensteig 008-01 Walddorf 08235006008-01;1162;821;341;0;417;0;5;412;77;120;88;28;48;6;0;;;28;;;;9;;;1;;;7;;
08235006001-11 Stadt Altensteig 009-01 Wart 08235006009-01;708;478;230;0;262;0;1;261;52;88;55;20;25;2;0;;;16;;;;1;;;1;;;1;;
08235006900-01 Stadt Altensteig 900-01 Briefwahl 1 08235006900-01;;;;;938;938;4;934;278;307;82;70;87;23;9;;;61;;;;8;;;5;;;4;;
08235006900-02 Stadt Altensteig 900-02 Briefwahl 2 08235006900-02;;;;;983;983;2;981;266;336;112;64;98;25;10;;;53;;;;7;;;4;;;6;;
08235007001-01 Gemeinde Althengstett 001-01 Althengstett 08235007001-01;3378;1951;1427;0;990;0;6;984;214;238;170;87;119;21;7;;;75;;;;19;;;9;;;25;;
08235007001-02 Gemeinde Althengstett 002-04 Neuhengstett 08235007002-04;1314;715;599;0;400;1;4;396;99;102;72;30;43;8;1;;;26;;;;5;;;7;;;3;;
08235007001-03 Gemeinde Althengstett 003-05 Ottenbronn 08235007003-05;1043;670;373;0;385;2;1;384;96;80;68;32;49;6;5;;;26;;;;6;;;6;;;10;;
08235007900-01 Gemeinde Althengstett 900-01 Briefwahl Althengstett 08235007900-01;;;;;1369;1369;4;1365;459;452;82;96;96;37;8;;;110;;;;9;;;3;;;13;;
08235007900-02 Gemeinde Althengstett 900-02 Briefwahl Neuhengstett und Ottenbronn 08235007900-02;;;;;933;933;4;929;318;275;58;98;82;28;5;;;54;;;;1;;;6;;;4;;
08235008001-01 Stadt Bad Liebenzell 001-01 Bad Liebenzell Kernstadt 08235008001-01;2148;1464;684;0;680;1;9;671;150;204;110;41;60;20;31;;;37;;;;7;;;5;;;6;;
08235008001-02 Stadt Bad Liebenzell 002-01 Beinberg 08235008002-01;389;276;113;0;154;0;0;154;43;49;19;10;15;6;1;;;8;;;;0;;;2;;;1;;
08235008001-03 Stadt Bad Liebenzell 003-01 Maisenbach-Zainen 08235008003-01;457;289;168;0;182;0;0;182;35;56;25;16;14;6;1;;;20;;;;4;;;3;;;2;;
08235008001-04 Stadt Bad Liebenzell 004-01 Möttlingen 08235008004-01;948;597;351;0;338;0;9;329;70;89;54;30;51;11;4;;;13;;;;1;;;3;;;3;;
08235008001-05 Stadt Bad Liebenzell 005-01 Monakam 08235008005-01;1356;882;474;0;464;1;2;462;120;95;75;34;52;17;8;;;40;;;;7;;;3;;;11;;
08235008001-06 Stadt Bad Liebenzell 006-01 Unterhaugstett 08235008006-01;814;554;260;0;327;0;0;327;72;87;66;16;39;11;0;;;20;;;;5;;;5;;;6;;
08235008001-07 Stadt Bad Liebenzell 007-01 Unterlengenhardt 08235008007-01;574;389;185;0;202;1;4;198;76;7;22;9;8;7;5;;;10;;;;13;;;2;;;39;;
08235008900-01 Stadt Bad Liebenzell 900-01 Briefwahl 01 08235008900-01;;;;;1036;1036;3;1033;343;294;74;89;83;24;23;;;71;;;;8;;;6;;;18;;
08235008900-02 Stadt Bad Liebenzell 900-02 Briefwahl 02 08235008900-02;;;;;1084;1084;2;1082;340;304;87;98;80;24;18;;;97;;;;11;;;10;;;13;;
08235018001-01 Gemeinde Dobel 001-01 Dobel_Urnenwahl 08235018001-01;1797;1214;583;0;505;0;4;501;121;106;86;43;71;21;3;;;25;;;;8;;;3;;;14;;
08235018900-01 Gemeinde Dobel 900-01 Dobel_Briefwahl 08235018900-01;;;;;564;564;2;562;145;145;66;56;63;20;11;;;25;;;;10;;;7;;;14;;
08235020001-01 Gemeinde Ebhausen 001-01 Ebhausen Rathaus 08235020001-01;621;439;182;0;189;0;4;185;31;60;39;14;18;2;4;;;10;;;;2;;;1;;;4;;
08235020001-02 Gemeinde Ebhausen 001-02 Kindergarten Stuhlberg 08235020001-02;452;352;100;0;155;0;1;154;38;44;30;16;11;6;0;;;8;;;;0;;;1;;;0;;
08235020001-03 Gemeinde Ebhausen 001-03 Kindergarten Sonnenstrahl 08235020001-03;776;485;291;0;242;0;2;240;44;64;57;15;40;5;1;;;8;;;;3;;;2;;;1;;
08235020001-04 Gemeinde Ebhausen 002-02 Rotfelden 08235020002-02;806;558;248;0;301;1;4;297;55;78;60;27;33;8;4;;;22;;;;5;;;4;;;1;;
08235020001-05 Gemeinde Ebhausen 003-03 Ebershardt 08235020003-03;481;356;125;0;233;1;1;232;28;82;45;12;39;2;5;;;16;;;;1;;;0;;;2;;
08235020001-06 Gemeinde Ebhausen 004-04 Wenden 08235020004-04;177;132;45;0;101;0;0;101;19;42;20;3;5;0;2;;;7;;;;1;;;1;;;1;;
08235020900-01 Gemeinde Ebhausen 900-01 Briefwahl 08235020900-01;;;;;939;939;3;936;236;317;103;73;88;18;13;;;72;;;;3;;;6;;;7;;
08235022001-01 Gemeinde Egenhausen 001-01 Egenhausen Urnenwahl 08235022001-01;1535;1007;528;0;557;0;5;552;70;208;128;31;68;13;2;;;25;;;;3;;;2;;;2;;
08235022900-01 Gemeinde Egenhausen 900-01 Egenhausen Briefwahl 08235022900-01;;;;;514;514;4;510;152;168;56;26;44;9;4;;;38;;;;3;;;6;;;4;;
08235025001-01 Gemeinde Enzklösterle 001-01 Urnenwahlbezirk 08235025001-01;900;560;340;0;321;0;5;316;59;122;49;21;32;1;13;;;9;;;;6;;;3;;;1;;
08235025900-01 Gemeinde Enzklösterle 900-01 Briefwahlbezirk 08235025900-01;;;;;326;326;1;325;80;127;20;16;28;3;26;;;12;;;;5;;;3;;;5;;
08235029001-01 Gemeinde Gechingen 001-01 Wahlbezirk I (Straßennamen von A - H) 08235029001-01;1342;773;569;0;409;0;7;402;103;107;61;35;55;14;0;;;20;;;;2;;;0;;;5;;
08235029001-02 Gemeinde Gechingen 001-02 Wahlbezirk II (Straßennamen von I bis Z) 08235029001-02;1334;735;599;0;390;0;2;388;116;107;47;34;44;15;0;;;7;;;;7;;;5;;;6;;
08235029900-01 Gemeinde Gechingen 900-01 Briefwahlbezirk I und II 08235029900-01;;;;;1130;1130;11;1119;377;404;75;84;68;27;8;;;49;;;;10;;;8;;;9;;
08235032001-01 Stadt Haiterbach 001-01 Haiterbach 1, Altnuifra, Industriegebiet 08235032001-01;1013;714;299;0;331;0;2;329;41;105;106;12;34;4;1;;;11;;;;10;;;3;;;2;;
08235032001-02 Stadt Haiterbach 001-02 Haiterbach 2 08235032001-02;1216;831;385;0;494;2;12;482;77;173;103;25;65;4;0;;;18;;;;9;;;2;;;6;;
08235032001-03 Stadt Haiterbach 004-03 Stadtteil Beihingen 08235032004-03;634;475;159;0;263;0;2;261;44;103;52;19;23;3;2;;;5;;;;3;;;6;;;1;;
08235032001-04 Stadt Haiterbach 005-04 Stadtteil  Oberschwandorf 08235032005-04;813;570;243;0;270;0;5;265;39;73;73;20;31;5;2;;;14;;;;6;;;2;;;0;;
08235032001-05 Stadt Haiterbach 006-05 Stadtteil Unterschwandorf 08235032006-05;210;146;64;0;94;0;0;94;20;29;20;8;6;4;0;;;2;;;;0;;;4;;;1;;
08235032900-01 Stadt Haiterbach 900-01 Briefwahl gesamt 08235032900-01;;;;;1066;1066;2;1064;251;356;119;69;136;29;9;;;63;;;;12;;;9;;;11;;
08235033001-01 Stadt Bad Herrenalb 001-01 Bad Herrenalb I 08235033001-01;1994;1341;653;0;551;0;3;548;186;81;89;58;58;31;7;;;15;;;;5;;;3;;;15;;
08235033001-02 Stadt Bad Herrenalb 001-02 Bad Herrenalb II 08235033001-02;1398;902;496;0;292;0;1;291;80;62;55;32;32;14;2;;;7;;;;2;;;4;;;1;;
08235033001-03 Stadt Bad Herrenalb 003-01 Bernbach 08235033003-01;893;610;283;0;264;2;6;258;70;41;53;23;33;12;3;;;9;;;;3;;;7;;;4;;
08235033001-04 Stadt Bad Herrenalb 004-01 Rotensol 08235033004-01;835;501;334;0;224;4;5;219;80;42;36;11;17;9;3;;;4;;;;8;;;3;;;6;;
08235033001-05 Stadt Bad Herrenalb 005-01 Neusatz 08235033005-01;678;381;297;0;176;0;1;175;47;28;35;18;20;9;0;;;6;;;;5;;;4;;;3;;
08235033900-01 Stadt Bad Herrenalb 900-01 Briefwahl 08235033900-01;;;;;1931;1931;8;1923;686;565;154;148;182;45;15;;;78;;;;10;;;17;;;23;;
08235035001-01 Gemeinde Höfen an der Enz 001-01 Wahlbezirk 08235035001-01;1201;815;386;0;348;0;4;344;71;88;57;28;52;8;5;;;16;;;;7;;;0;;;12;;
08235035900-01 Gemeinde Höfen an der Enz 900-01 Briefwahlbezirk 08235035900-01;;;;;374;374;2;372;109;122;24;41;27;17;11;;;13;;;;1;;;5;;;2;;
08235046001-01 Stadt Nagold 001-01 Kernen 08235046001-01;1114;815;299;0;306;2;1;305;44;84;76;21;38;16;0;;;19;;;;6;;;1;;;0;;
08235046001-02 Stadt Nagold 001-02 Calwer Straße, Mitte 08235046001-02;1450;981;469;0;400;2;3;397;116;98;61;27;56;11;3;;;19;;;;3;;;1;;;2;;
08235046001-03 Stadt Nagold 002-03 Galgenberg, Unterer Lemberg 08235046002-03;1578;1021;557;0;435;2;2;433;113;105;68;33;56;15;2;;;21;;;;10;;;9;;;1;;
08235046001-04 Stadt Nagold 003-04 Bächlen, Lemberg 08235046003-04;942;591;351;0;247;1;1;246;58;47;69;19;25;9;2;;;7;;;;5;;;0;;;5;;
08235046001-05 Stadt Nagold 003-05 Mittlerer und Oberer Lemberg 08235046003-05;1474;1044;430;0;411;0;6;405;104;102;80;37;44;15;0;;;19;;;;1;;;2;;;1;;
08235046001-06 Stadt Nagold 003-06 Iselshäuser Tal 08235046003-06;701;603;98;0;190;1;3;187;25;41;70;19;14;6;2;;;5;;;;2;;;0;;;3;;
08235046001-07 Stadt Nagold 003-07 Mittlerer Steinberg, Wolfsberg 08235046003-07;1111;819;292;0;349;5;1;348;71;90;94;29;27;9;4;;;16;;;;3;;;1;;;4;;
08235046001-08 Stadt Nagold 003-08 Oberer Steinberg 08235046003-08;557;499;58;0;195;0;3;192;18;36;82;10;27;9;1;;;6;;;;2;;;1;;;0;;
08235046001-09 Stadt Nagold 004-21 Iselshausen 08235046004-21;921;690;231;0;282;0;5;277;60;54;60;32;32;10;3;;;18;;;;2;;;2;;;4;;
08235046001-10 Stadt Nagold 005-22 Pfrondorf 08235046005-22;526;376;150;0;190;2;3;187;44;42;46;13;28;0;1;;;11;;;;0;;;0;;;2;;
08235046001-11 Stadt Nagold 006-23 Mindersbach 08235046006-23;403;282;121;0;200;0;2;198;52;51;34;16;16;3;2;;;11;;;;6;;;4;;;3;;
08235046001-12 Stadt Nagold 007-24 Gündringen 08235046007-24;583;451;132;0;239;0;2;237;35;104;27;21;26;12;0;;;9;;;;1;;;0;;;2;;
08235046001-13 Stadt Nagold 008-25 Schietingen 08235046008-25;319;245;74;0;147;0;1;146;24;31;45;15;15;2;1;;;6;;;;6;;;1;;;0;;
08235046001-14 Stadt Nagold 009-26 Vollmaringen 08235046009-26;1233;854;379;0;457;4;5;452;75;121;96;43;57;14;1;;;28;;;;4;;;7;;;6;;
08235046001-15 Stadt Nagold 010-27 Hochdorf Ost 08235046010-27;697;436;261;0;230;0;2;228;36;48;61;18;38;6;1;;;11;;;;4;;;3;;;2;;
08235046001-16 Stadt Nagold 010-28 Hochdorf West 08235046010-28;890;621;267;2;358;4;6;352;66;92;95;25;38;10;4;;;16;;;;0;;;5;;;1;;
08235046001-17 Stadt Nagold 011-29 Emmingen 08235046011-29;1163;740;423;0;414;1;3;411;82;127;64;29;48;8;3;;;33;;;;5;;;6;;;6;;
08235046900-01 Stadt Nagold 900-41 Briefwahl Kernen, Bächlen, Lemberg 08235046900-41;;;;;615;615;4;611;234;167;45;51;58;14;2;;;35;;;;0;;;2;;;3;;
08235046900-02 Stadt Nagold 900-42 Briefwahl Calwer Straße, Mitte 08235046900-42;;;;;431;431;3;428;146;140;30;28;46;12;2;;;17;;;;4;;;2;;;1;;
08235046900-03 Stadt Nagold 900-43 Briefwahl Galgenberg, Unterer Lemberg 08235046900-43;;;;;516;516;0;516;199;142;22;42;54;17;3;;;25;;;;4;;;4;;;4;;
08235046900-04 Stadt Nagold 900-44 Briefwahl Mittlerer und Oberer Lemberg 08235046900-44;;;;;390;390;2;388;124;114;33;34;36;15;2;;;24;;;;3;;;2;;;1;;
08235046900-05 Stadt Nagold 900-45 Briefwahl Mittlerer u. Oberer Steinberg, Wolfsberg 08235046900-45;;;;;331;331;3;328;106;97;44;22;33;9;2;;;11;;;;1;;;1;;;2;;
08235046900-06 Stadt Nagold 900-46 Briefwahl Iselshausen und Iselshauser Tal 08235046900-46;;;;;297;297;3;294;90;94;19;23;36;10;1;;;14;;;;2;;;2;;;3;;
08235046900-07 Stadt Nagold 900-47 Briefwahl Emmingen, Mindersbach, Pfrondorf 08235046900-47;;;;;637;637;3;634;214;162;70;52;53;9;6;;;60;;;;3;;;4;;;1;;
08235046900-08 Stadt Nagold 900-48 Briefwahl Gündringen, Vollmaringen 08235046900-48;;;;;463;463;3;460;130;166;32;34;34;20;7;;;29;;;;3;;;1;;;4;;
08235046900-09 Stadt Nagold 900-49 Briefwahl Hochdorf, Schietingen 08235046900-49;;;;;581;581;6;575;160;181;54;55;55;14;5;;;37;;;;3;;;4;;;7;;
08235047001-01 Stadt Neubulach 001-01 Neubulach 08235047001-01;1503;919;584;0;450;0;1;449;76;131;98;26;45;14;10;;;29;;;;14;;;2;;;4;;
08235047001-02 Stadt Neubulach 002-02 Altbulach 08235047002-02;716;432;284;0;260;0;0;260;52;82;46;13;29;3;4;;;20;;;;4;;;4;;;3;;
08235047001-03 Stadt Neubulach 003-03 Liebelsberg 08235047003-03;950;600;350;0;344;0;4;340;70;97;65;18;50;8;2;;;18;;;;5;;;1;;;6;;
08235047001-04 Stadt Neubulach 004-04 Martinsmoos 08235047004-04;269;188;81;0;115;0;0;115;20;45;24;8;6;2;2;;;4;;;;1;;;2;;;1;;
08235047001-05 Stadt Neubulach 005-05 Oberhaugstett 08235047005-05;777;533;244;0;338;0;11;327;74;90;83;23;25;6;2;;;13;;;;7;;;1;;;3;;
08235047900-01 Stadt Neubulach 900-01 Briefwahl 1 08235047900-01;;;;;822;822;6;816;221;281;74;41;66;16;19;;;75;;;;11;;;7;;;5;;
08235047900-02 Stadt Neubulach 900-02 Briefwahl 2 08235047900-02;;;;;643;643;1;642;187;202;58;43;49;15;16;;;48;;;;13;;;5;;;6;;
08235050001-01 Gemeinde Neuweiler 001-01 Neuweiler 08235050001-01;824;538;286;0;291;0;0;291;50;90;60;12;30;11;1;;;22;;;;4;;;6;;;5;;
08235050001-02 Gemeinde Neuweiler 002-02 Agenbach 08235050002-02;333;246;87;0;136;0;2;134;36;42;15;7;17;2;6;;;5;;;;1;;;1;;;2;;
08235050001-03 Gemeinde Neuweiler 003-03 Breitenberg 08235050003-03;508;339;169;0;202;0;3;199;27;85;42;7;13;1;2;;;18;;;;3;;;1;;;0;;
08235050001-04 Gemeinde Neuweiler 004-04 Oberkollwangen 08235050004-04;250;157;93;0;86;0;0;86;16;30;21;2;9;2;0;;;5;;;;0;;;1;;;0;;
08235050001-05 Gemeinde Neuweiler 005-05 Zwerenberg 08235050005-05;432;296;136;0;191;0;0;191;26;63;48;11;24;3;0;;;9;;;;0;;;5;;;2;;
08235050001-06 Gemeinde Neuweiler 006-06 Gaugenwald 08235050006-06;130;83;47;0;56;0;0;56;16;14;13;1;7;1;0;;;2;;;;1;;;1;;;0;;
08235050900-01 Gemeinde Neuweiler 900-01 Briefwahl Neuweiler 08235050900-01;;;;;768;768;1;767;185;270;94;29;69;17;17;;;72;;;;1;;;7;;;6;;
08235055001-01 Gemeinde Oberreichenbach 001-01 Oberreichenbach 08235055001-01;552;360;192;0;196;0;3;193;41;47;51;5;18;6;0;;;9;;;;6;;;7;;;3;;
08235055001-02 Gemeinde Oberreichenbach 002-01 Oberkollbach 08235055002-01;791;528;263;0;280;0;2;278;63;79;62;24;23;5;1;;;10;;;;0;;;3;;;8;;
08235055001-03 Gemeinde Oberreichenbach 003-01-Würzbach 08235055003-01;632;387;245;0;238;0;1;237;28;79;52;12;30;6;3;;;20;;;;2;;;0;;;5;;
08235055001-04 Gemeinde Oberreichenbach 004-01 Igelsloch 08235055004-01;317;216;101;0;134;2;0;134;39;36;26;8;10;4;1;;;8;;;;1;;;0;;;1;;
08235055900-01 Gemeinde Oberreichenbach 005-01 Briefwahl 08235055005-01;;;;;761;761;9;752;210;244;74;48;52;24;10;;;59;;;;3;;;10;;;18;;
08235057001-01 Gemeinde Ostelsheim 001-01 Wahlbezirk 1 08235057001-01;1771;1055;716;0;614;1;2;612;180;158;67;50;88;16;2;;;28;;;;13;;;5;;;5;;
08235057900-01 Gemeinde Ostelsheim 900-01 Briefwahlbezirk 08235057900-01;;;;;675;675;4;671;243;182;50;37;77;13;6;;;48;;;;4;;;5;;;6;;
